Scheme_ID,Scheme_Name,Beneficiary,Description,Min_Age,Max_Age,Income_Limit,State,Gender,Education,Occupation,Category,Disability_Status,Rural_Urban,Employment_Status,Marital_Status,Farmer_Status,Student_Status,BPL_Status,Minority_Status,Benefits,Required_Documents,Official_Website
SCH029,Ayushman Swasthya Suraksha - Yojana 29,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,Kerala,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya29
SCH030,Social Welfare Security Scheme - Support 30,Eligible Welfare Beneficiaries,General state-funded social relief for economically weak sections including widows and distressed families.,18,80,150000,All,Male,All,All,All,All,All,All,All,All,All,Yes,All,Direct cash allowance of Rs. 1500 per month.,"Aadhaar Card, Income certificate, Bank passbook",https://socialjustice.gov.in/welfare30
SCH031,National Farmer Scheme - Phase 31,Eligible Agriculture Beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,All,Male,All,Farmer,All,All,Rural,Self-Employed,All,Yes,All,All,All,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme31
SCH032,Awas Sahayata Gramin - Allocation 32,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,Punjab,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing32
SCH033,Awas Sahayata Gramin - Allocation 33,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,Maharashtra,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing33
SCH034,Mahila Self-Reliance Scheme - Model 34,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme34
SCH035,Senior Citizen Financial Security - Pension 35,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension35
SCH036,Ayushman Swasthya Suraksha - Yojana 36,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,All,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya36
SCH037,Social Welfare Security Scheme - Support 37,Eligible Welfare Beneficiaries,General state-funded social relief for economically weak sections including widows and distressed families.,18,80,150000,All,All,All,All,All,All,All,All,All,All,All,Yes,All,Direct cash allowance of Rs. 1500 per month.,"Aadhaar Card, Income certificate, Bank passbook",https://socialjustice.gov.in/welfare37
SCH038,Senior Citizen Financial Security - Pension 38,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,Uttar Pradesh,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension38
SCH039,Ayushman Swasthya Suraksha - Yojana 39,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,Bihar,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya39
SCH040,Mahila Self-Reliance Scheme - Model 40,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,Rajasthan,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme40
SCH041,Merit-cum-Means Post Matric Support - Program 41,Eligible Education Beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,All,All,10th,Student,All,All,All,Student,All,All,Yes,All,All,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme41
SCH042,Skill Upgradation and Vocational Loan - Plan 42,Eligible Skills Development Beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,West Bengal,All,All,Unemployed,All,All,All,Unemployed,All,All,All,All,All,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill42
SCH043,National Farmer Scheme - Phase 43,Eligible Agriculture Beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,Kerala,All,All,Farmer,All,All,Rural,Self-Employed,All,Yes,All,All,All,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme43
SCH044,National Farmer Scheme - Phase 44,Eligible Agriculture Beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,All,All,All,Farmer,All,All,Rural,Self-Employed,All,Yes,All,All,All,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme44
SCH045,Merit-cum-Means Post Matric Support - Program 45,Eligible Education Beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,All,All,10th,Student,All,All,All,Student,All,All,Yes,All,All,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme45
SCH046,Awas Sahayata Gramin - Allocation 46,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,Maharashtra,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing46
SCH047,Mahila Self-Reliance Scheme - Model 47,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme47
SCH048,Skill Upgradation and Vocational Loan - Plan 48,Eligible Skills Development Beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,Kerala,All,All,Unemployed,All,All,All,Unemployed,All,All,All,All,All,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill48
SCH049,National Farmer Scheme - Phase 49,Eligible Agriculture Beneficiaries,Government initiative to support agricultural development by giving modern irrigation kits and equipment to farmers.,18,80,999999999,Uttar Pradesh,All,All,Farmer,All,All,Rural,Self-Employed,All,Yes,All,All,All,Free drip irrigation kit and Rs. 5000 subsidy on fertilizers.,"Aadhaar Card, Land Records, Farmer ID Proof",https://agricoop.nic.in/scheme49
SCH050,Social Welfare Security Scheme - Support 50,Eligible Welfare Beneficiaries,General state-funded social relief for economically weak sections including widows and distressed families.,18,80,150000,All,Male,All,All,All,All,All,All,All,All,All,Yes,All,Direct cash allowance of Rs. 1500 per month.,"Aadhaar Card, Income certificate, Bank passbook",https://socialjustice.gov.in/welfare50
SCH051,Skill Upgradation and Vocational Loan - Plan 51,Eligible Skills Development Beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,Punjab,All,All,Unemployed,All,All,All,Unemployed,All,All,All,All,All,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill51
SCH052,Merit-cum-Means Post Matric Support - Program 52,Eligible Education Beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,All,All,12th,Student,All,All,All,Student,All,All,Yes,All,All,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme52
SCH053,Senior Citizen Financial Security - Pension 53,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,Andhra Pradesh,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension53
SCH054,Skill Upgradation and Vocational Loan - Plan 54,Eligible Skills Development Beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,All,All,All,Unemployed,All,All,All,Unemployed,All,All,All,All,All,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill54
SCH055,Mahila Self-Reliance Scheme - Model 55,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme55
SCH056,Awas Sahayata Gramin - Allocation 56,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,All,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing56
SCH057,Senior Citizen Financial Security - Pension 57,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension57
SCH058,Awas Sahayata Gramin - Allocation 58,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,All,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing58
SCH059,Ayushman Swasthya Suraksha - Yojana 59,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,All,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya59
SCH060,Senior Citizen Financial Security - Pension 60,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension60
SCH061,Merit-cum-Means Post Matric Support - Program 61,Eligible Education Beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,300000,West Bengal,Male,12th,Student,All,All,All,Student,All,All,Yes,All,All,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme61
SCH062,Mahila Self-Reliance Scheme - Model 62,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme62
SCH063,Merit-cum-Means Post Matric Support - Program 63,Eligible Education Beneficiaries,Financial backing for brilliant students to guarantee access to professional training colleges and technical degrees.,18,28,500000,All,All,12th,Student,All,All,All,Student,All,All,Yes,All,All,Full academic tuition coverage and a monthly stipend of Rs. 1500.,"Academic transcript, Income certificate, Fee Structure, Aadhaar",https://scholarships.gov.in/scheme63
SCH064,Skill Upgradation and Vocational Loan - Plan 64,Eligible Skills Development Beneficiaries,Short-term industry courses and certification for unemployed youth to improve immediate placement prospects.,18,35,999999999,Karnataka,All,All,Unemployed,All,All,All,Unemployed,All,All,All,All,All,Free skill training course and job placement assistance with stipend.,"Aadhaar Card, School leaving certificate, Unemployed registration card",https://msde.gov.in/skill64
SCH065,Ayushman Swasthya Suraksha - Yojana 65,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,All,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya65
SCH066,Senior Citizen Financial Security - Pension 66,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension66
SCH067,Awas Sahayata Gramin - Allocation 67,Eligible Housing Beneficiaries,Providing masonry training and raw building materials to rural households below the poverty line to build permanent homes.,18,80,999999999,All,All,All,All,All,All,Rural,All,All,All,All,Yes,All,"Financial assistance of Rs. 1,20,000 along with subsidised building supplies.","BPL Certificate, Land ownership map, Aadhaar Card",https://pmayg.nic.in/housing67
SCH068,Mahila Self-Reliance Scheme - Model 68,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme68
SCH069,Senior Citizen Financial Security - Pension 69,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension69
SCH070,Mahila Self-Reliance Scheme - Model 70,Eligible Women Empowerment Beneficiaries,Encouraging small enterprise setup for women by organizing self-help groups and funding micro-manufacturing setups.,18,80,300000,All,Female,All,Business Owner,All,All,All,Self-Employed,All,All,All,All,All,"Subsidized startup loan of up to Rs. 1,00,000 without collateral.","Aadhaar Card, Residence proof, Self-Help Group certificate",https://wcd.nic.in/scheme70
SCH071,Ayushman Swasthya Suraksha - Yojana 71,Eligible Healthcare Beneficiaries,National health insurance coverage for economically vulnerable populations enabling free hospitalization at registered clinics.,18,80,120000,All,All,All,All,All,All,All,All,All,All,All,Yes,All,"Cashless medical insurance coverage of up to Rs. 5,000,000 per family per year.","BPL Card, Aadhaar Card, Ration Card",https://pmjay.gov.in/swasthya71
SCH072,Senior Citizen Financial Security - Pension 72,Eligible Senior Citizens Beneficiaries,An annuity and healthcare insurance combination plan for senior citizens designed for a comfortable retired life.,60,80,999999999,All,All,All,Retired,All,All,All,Retired,All,All,All,All,All,Guaranteed Rs. 2000 monthly pension and secondary medical coverage up to Rs. 1 Lakh.,"Age Certificate, Aadhaar, Bank Details, Income proof",https://nsap.nic.in/pension72
