Age,Gender,Income,State,Education,Occupation,Category,Disability_Status,Employment_Status,Rural_Urban,Marital_Status,Farmer_Status,Student_Status,BPL_Status,Minority_Status,Recommended_Scheme
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 27
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 35
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 57
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 60
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 66
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 69
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 72
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 80
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 84
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 88
62,male,12467,bihar,illiterate,retired,ews,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 95
36,female,49993,west bengal,post graduate,private employee,obc,no,employed,rural,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,PM Garib Kalyan Anna Yojana (PMGKAY)
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Mo Ghara Yojana (Odisha Housing Scheme)
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 36
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 37
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 56
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 58
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 59
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 65
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 67
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 71
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 75
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 79
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 89
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 91
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 92
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 94
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 98
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 99
63,female,0,gujarat,12th,unemployed,ews,no,unemployed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 100
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,PM Krishi Sinchayee Yojana (PMKSY)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Kisan Credit Card (KCC) Scheme
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,PM Garib Kalyan Anna Yojana (PMGKAY)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Mo Ghara Yojana (Odisha Housing Scheme)
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 26
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 28
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 30
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 31
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 36
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 37
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 44
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 50
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Awas Sahayata Gramin - Allocation 56
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Awas Sahayata Gramin - Allocation 58
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 59
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 65
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Awas Sahayata Gramin - Allocation 67
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 71
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 73
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Awas Sahayata Gramin - Allocation 75
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 77
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 78
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,National Farmer Scheme - Phase 86
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 89
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 91
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 92
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 94
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Ayushman Swasthya Suraksha - Yojana 98
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 99
51,male,5796,madhya pradesh,illiterate,farmer,obc,no,self-employed,rural,divorced,yes,no,yes,no,Social Welfare Security Scheme - Support 100
32,female,11250,kerala,10th,laborer,general,no,employed,urban,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
33,female,62576,punjab,illiterate,business owner,st,no,self-employed,rural,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
33,female,62576,punjab,illiterate,business owner,st,no,self-employed,rural,married,no,no,no,no,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
43,female,9588,uttar pradesh,10th,laborer,obc,no,employed,rural,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
18,male,0,tamil nadu,10th,student,ews,yes,student,rural,single,no,yes,no,no,Deendayal Disabled Rehabilitation Scheme (DDRS)
24,female,0,west bengal,graduate,student,ews,no,student,urban,married,no,yes,no,yes,Pragati Scholarship Scheme for Girls
24,female,0,west bengal,graduate,student,ews,no,student,urban,married,no,yes,no,yes,Pradhan Mantri Matru Vandana Yojana (PMMVY)
24,female,0,west bengal,graduate,student,ews,no,student,urban,married,no,yes,no,yes,Naya Savera - Free Coaching Scheme for Minorities
24,female,0,west bengal,graduate,student,ews,no,student,urban,married,no,yes,no,yes,Maulana Azad National Fellowship for Minorities
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,PM Garib Kalyan Anna Yojana (PMGKAY)
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Mo Ghara Yojana (Odisha Housing Scheme)
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 30
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 36
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 37
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 50
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 56
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 58
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 59
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 65
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 67
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 71
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Awas Sahayata Gramin - Allocation 75
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 76
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 77
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 89
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 91
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 92
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 94
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 98
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 99
44,male,6764,rajasthan,illiterate,laborer,sc,no,employed,rural,married,no,no,yes,no,Social Welfare Security Scheme - Support 100
26,female,52388,gujarat,graduate,private employee,obc,no,employed,urban,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
18,male,0,madhya pradesh,post graduate,unemployed,ews,yes,unemployed,rural,single,no,no,no,no,Deendayal Disabled Rehabilitation Scheme (DDRS)
18,male,0,madhya pradesh,post graduate,unemployed,ews,yes,unemployed,rural,single,no,no,no,no,Skill Upgradation and Vocational Loan - Plan 54
18,male,0,madhya pradesh,post graduate,unemployed,ews,yes,unemployed,rural,single,no,no,no,no,Skill Upgradation and Vocational Loan - Plan 74
18,male,0,madhya pradesh,post graduate,unemployed,ews,yes,unemployed,rural,single,no,no,no,no,Skill Upgradation and Vocational Loan - Plan 82
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,PM Krishi Sinchayee Yojana (PMKSY)
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,Kisan Credit Card (KCC) Scheme
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 28
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 43
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 44
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 73
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 78
61,female,7853,kerala,illiterate,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 86
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,PMMVY-Urban (Maternity Benefit Scheme for Urban Poor)
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,PM Garib Kalyan Anna Yojana (PMGKAY)
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 36
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Social Welfare Security Scheme - Support 37
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 59
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 65
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 71
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 89
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Social Welfare Security Scheme - Support 91
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 92
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 94
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Ayushman Swasthya Suraksha - Yojana 98
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Social Welfare Security Scheme - Support 99
41,female,6600,punjab,illiterate,laborer,ews,no,employed,urban,married,no,no,yes,no,Social Welfare Security Scheme - Support 100
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,PM Krishi Sinchayee Yojana (PMKSY)
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,Pradhan Mantri Fasal Bima Yojana (PMFBY)
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,Kisan Credit Card (KCC) Scheme
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 28
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 31
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 44
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 73
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 78
41,male,6143,tamil nadu,10th,farmer,general,no,self-employed,rural,single,yes,no,no,yes,National Farmer Scheme - Phase 86
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Central Sector Scheme of Scholarship for College and University Students
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Pragati Scholarship Scheme for Girls
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Deendayal Disabled Rehabilitation Scheme (DDRS)
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Merit-cum-Means Post Matric Support - Program 41
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Merit-cum-Means Post Matric Support - Program 45
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Merit-cum-Means Post Matric Support - Program 52
22,female,0,karnataka,graduate,student,obc,yes,student,rural,married,no,yes,no,no,Merit-cum-Means Post Matric Support - Program 63
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,PM Krishi Sinchayee Yojana (PMKSY)
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,Kisan Credit Card (KCC) Scheme
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,PM Kisan Maan-Dhan Yojana (PM-KMY)
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 28
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 44
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 73
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 78
30,female,10745,west bengal,10th,farmer,general,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 86
30,female,6226,gujarat,10th,laborer,sc,no,self-employed,urban,married,no,no,no,yes,Pradhan Mantri Matru Vandana Yojana (PMMVY)
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Pradhan Mantri Vaya Vandana Yojana (PMVVY)
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 27
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 35
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 57
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 60
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 66
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 69
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 72
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 80
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 84
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 88
67,male,8789,madhya pradesh,graduate,retired,st,no,retired,rural,married,no,no,no,no,Senior Citizen Financial Security - Pension 95
39,female,58279,kerala,post graduate,private employee,obc,no,employed,urban,married,no,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,PM Krishi Sinchayee Yojana (PMKSY)
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Fasal Bima Yojana (PMFBY)
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Kisan Credit Card (KCC) Scheme
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,Pradhan Mantri Matru Vandana Yojana (PMMVY)
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 28
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 44
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 49
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 73
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 78
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 86
43,female,14015,uttar pradesh,12th,farmer,obc,no,self-employed,rural,married,yes,no,no,no,National Farmer Scheme - Phase 93
18,male,0,tamil nadu,10th,student,st,no,student,urban,single,no,yes,yes,no,PM Garib Kalyan Anna Yojana (PMGKAY)
18,male,0,tamil nadu,10th,student,st,no,student,urban,single,no,yes,yes,no,Social Welfare Security Scheme - Support 30
18,male,0,tamil nadu,10th,student,st,no,student,urban,single,no,yes,yes,no,Ayushman Swasthya Suraksha - Yojana 36
18,male,0,tamil nadu,10th,student,st,no,student,urban,single,no,yes,yes,no,Social Welfare Security Scheme - Support 37
