Age,Income,Occupation,Gender,Category,Recommended_Scheme
41,6143,farmer,male,general,Pradhan Mantri Fasal Bima Yojana (PMFBY)
41,6143,farmer,male,general,Kisan Credit Card (KCC) Scheme
41,6143,farmer,male,general,National Farmer Scheme - Phase 28
41,6143,farmer,male,general,National Farmer Scheme - Phase 31
41,6143,farmer,male,general,National Farmer Scheme - Phase 44
41,6143,farmer,male,general,National Farmer Scheme - Phase 73
41,6143,farmer,male,general,National Farmer Scheme - Phase 78
41,6143,farmer,male,general,National Farmer Scheme - Phase 86
22,0,student,female,obc,Central Sector Scheme of Scholarship for College and University Students
22,0,student,female,obc,Pragati Scholarship Scheme for Girls
22,0,student,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
22,0,student,female,obc,Deendayal Disabled Rehabilitation Scheme (DDRS)
22,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 41
22,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 45
22,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 52
22,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 63
30,10745,farmer,female,general,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
30,10745,farmer,female,general,PM Krishi Sinchayee Yojana (PMKSY)
30,10745,farmer,female,general,Pradhan Mantri Fasal Bima Yojana (PMFBY)
30,10745,farmer,female,general,Kisan Credit Card (KCC) Scheme
30,10745,farmer,female,general,PM Kisan Maan-Dhan Yojana (PM-KMY)
30,10745,farmer,female,general,Pradhan Mantri Matru Vandana Yojana (PMMVY)
30,10745,farmer,female,general,National Farmer Scheme - Phase 28
30,10745,farmer,female,general,National Farmer Scheme - Phase 44
30,10745,farmer,female,general,National Farmer Scheme - Phase 73
30,10745,farmer,female,general,National Farmer Scheme - Phase 78
30,10745,farmer,female,general,National Farmer Scheme - Phase 86
30,6226,laborer,female,sc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
67,8789,retired,male,st,Pradhan Mantri Vaya Vandana Yojana (PMVVY)
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 27
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 35
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 57
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 60
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 66
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 69
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 72
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 80
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 84
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 88
67,8789,retired,male,st,Senior Citizen Financial Security - Pension 95
39,58279,private employee,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
43,14015,farmer,female,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
43,14015,farmer,female,obc,PM Krishi Sinchayee Yojana (PMKSY)
43,14015,farmer,female,obc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
43,14015,farmer,female,obc,Kisan Credit Card (KCC) Scheme
43,14015,farmer,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
43,14015,farmer,female,obc,National Farmer Scheme - Phase 28
43,14015,farmer,female,obc,National Farmer Scheme - Phase 44
43,14015,farmer,female,obc,National Farmer Scheme - Phase 49
43,14015,farmer,female,obc,National Farmer Scheme - Phase 73
43,14015,farmer,female,obc,National Farmer Scheme - Phase 78
43,14015,farmer,female,obc,National Farmer Scheme - Phase 86
43,14015,farmer,female,obc,National Farmer Scheme - Phase 93
18,0,student,male,st,PM Garib Kalyan Anna Yojana (PMGKAY)
18,0,student,male,st,Social Welfare Security Scheme - Support 30
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 36
18,0,student,male,st,Social Welfare Security Scheme - Support 37
18,0,student,male,st,Merit-cum-Means Post Matric Support - Program 41
18,0,student,male,st,Merit-cum-Means Post Matric Support - Program 45
18,0,student,male,st,Social Welfare Security Scheme - Support 50
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 59
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 65
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 71
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 77
18,0,student,male,st,Merit-cum-Means Post Matric Support - Program 81
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 89
18,0,student,male,st,Social Welfare Security Scheme - Support 91
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 92
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 94
18,0,student,male,st,Ayushman Swasthya Suraksha - Yojana 98
18,0,student,male,st,Social Welfare Security Scheme - Support 99
18,0,student,male,st,Social Welfare Security Scheme - Support 100
20,0,student,female,obc,Central Sector Scheme of Scholarship for College and University Students
20,0,student,female,obc,Pragati Scholarship Scheme for Girls
20,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 41
20,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 45
20,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 52
20,0,student,female,obc,Merit-cum-Means Post Matric Support - Program 63
42,9421,farmer,male,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
42,9421,farmer,male,obc,PM Krishi Sinchayee Yojana (PMKSY)
42,9421,farmer,male,obc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
42,9421,farmer,male,obc,Kisan Credit Card (KCC) Scheme
42,9421,farmer,male,obc,Deendayal Disabled Rehabilitation Scheme (DDRS)
42,9421,farmer,male,obc,National Farmer Scheme - Phase 28
42,9421,farmer,male,obc,National Farmer Scheme - Phase 31
42,9421,farmer,male,obc,National Farmer Scheme - Phase 44
42,9421,farmer,male,obc,National Farmer Scheme - Phase 73
42,9421,farmer,male,obc,National Farmer Scheme - Phase 78
42,9421,farmer,male,obc,National Farmer Scheme - Phase 86
38,54139,business owner,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
38,54139,business owner,female,obc,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
38,54139,business owner,female,obc,Stand-Up India Scheme
35,11956,farmer,male,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
35,11956,farmer,male,obc,PM Krishi Sinchayee Yojana (PMKSY)
35,11956,farmer,male,obc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
35,11956,farmer,male,obc,Kisan Credit Card (KCC) Scheme
35,11956,farmer,male,obc,PM Kisan Maan-Dhan Yojana (PM-KMY)
35,11956,farmer,male,obc,National Farmer Scheme - Phase 28
35,11956,farmer,male,obc,National Farmer Scheme - Phase 31
35,11956,farmer,male,obc,National Farmer Scheme - Phase 44
35,11956,farmer,male,obc,National Farmer Scheme - Phase 73
35,11956,farmer,male,obc,National Farmer Scheme - Phase 78
35,11956,farmer,male,obc,National Farmer Scheme - Phase 86
18,0,unemployed,female,general,PM Garib Kalyan Anna Yojana (PMGKAY)
18,0,unemployed,female,general,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
18,0,unemployed,female,general,Mo Ghara Yojana (Odisha Housing Scheme)
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 29
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 36
18,0,unemployed,female,general,Social Welfare Security Scheme - Support 37
18,0,unemployed,female,general,Skill Upgradation and Vocational Loan - Plan 48
18,0,unemployed,female,general,Skill Upgradation and Vocational Loan - Plan 54
18,0,unemployed,female,general,Awas Sahayata Gramin - Allocation 56
18,0,unemployed,female,general,Awas Sahayata Gramin - Allocation 58
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 59
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 65
18,0,unemployed,female,general,Awas Sahayata Gramin - Allocation 67
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 71
18,0,unemployed,female,general,Skill Upgradation and Vocational Loan - Plan 74
18,0,unemployed,female,general,Awas Sahayata Gramin - Allocation 75
18,0,unemployed,female,general,Skill Upgradation and Vocational Loan - Plan 82
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 89
18,0,unemployed,female,general,Social Welfare Security Scheme - Support 91
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 92
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 94
18,0,unemployed,female,general,Ayushman Swasthya Suraksha - Yojana 98
18,0,unemployed,female,general,Social Welfare Security Scheme - Support 99
18,0,unemployed,female,general,Social Welfare Security Scheme - Support 100
29,68065,government employee,male,general,Deendayal Disabled Rehabilitation Scheme (DDRS)
33,0,unemployed,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
33,0,unemployed,female,obc,PM Garib Kalyan Anna Yojana (PMGKAY)
33,0,unemployed,female,obc,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
33,0,unemployed,female,obc,Mo Ghara Yojana (Odisha Housing Scheme)
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 32
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 36
33,0,unemployed,female,obc,Social Welfare Security Scheme - Support 37
33,0,unemployed,female,obc,Skill Upgradation and Vocational Loan - Plan 51
33,0,unemployed,female,obc,Skill Upgradation and Vocational Loan - Plan 54
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 56
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 58
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 59
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 65
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 67
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 71
33,0,unemployed,female,obc,Skill Upgradation and Vocational Loan - Plan 74
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 75
33,0,unemployed,female,obc,Skill Upgradation and Vocational Loan - Plan 82
33,0,unemployed,female,obc,Awas Sahayata Gramin - Allocation 85
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 89
33,0,unemployed,female,obc,Social Welfare Security Scheme - Support 91
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 92
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 94
33,0,unemployed,female,obc,Ayushman Swasthya Suraksha - Yojana 98
33,0,unemployed,female,obc,Social Welfare Security Scheme - Support 99
33,0,unemployed,female,obc,Social Welfare Security Scheme - Support 100
45,13837,farmer,female,sc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
45,13837,farmer,female,sc,PM Krishi Sinchayee Yojana (PMKSY)
45,13837,farmer,female,sc,Pradhan Mantri Fasal Bima Yojana (PMFBY)
45,13837,farmer,female,sc,Kisan Credit Card (KCC) Scheme
45,13837,farmer,female,sc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
45,13837,farmer,female,sc,National Farmer Scheme - Phase 28
45,13837,farmer,female,sc,National Farmer Scheme - Phase 44
45,13837,farmer,female,sc,National Farmer Scheme - Phase 49
45,13837,farmer,female,sc,National Farmer Scheme - Phase 73
45,13837,farmer,female,sc,National Farmer Scheme - Phase 78
45,13837,farmer,female,sc,National Farmer Scheme - Phase 86
45,13837,farmer,female,sc,National Farmer Scheme - Phase 93
44,11045,laborer,female,st,Pradhan Mantri Matru Vandana Yojana (PMMVY)
29,71655,government employee,female,obc,Pradhan Mantri Matru Vandana Yojana (PMMVY)
49,77402,business owner,male,sc,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
55,60056,business owner,female,st,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
55,60056,business owner,female,st,Stand-Up India Scheme
27,64816,government employee,female,general,Deendayal Disabled Rehabilitation Scheme (DDRS)
35,0,unemployed,male,obc,Skill Upgradation and Vocational Loan - Plan 54
35,0,unemployed,male,obc,Skill Upgradation and Vocational Loan - Plan 74
35,0,unemployed,male,obc,Skill Upgradation and Vocational Loan - Plan 82
44,22026,business owner,female,general,Pradhan Mantri Matru Vandana Yojana (PMMVY)
44,22026,business owner,female,general,Mahila Co-operative Loan Scheme
44,22026,business owner,female,general,Pradhan Mantri Mudra Yojana (PMMY) - Shishu
44,22026,business owner,female,general,Stand-Up India Scheme
32,7286,laborer,female,ews,Pradhan Mantri Matru Vandana Yojana (PMMVY)
32,7286,laborer,female,ews,Indira Gandhi National Disability Pension Scheme (IGNDPS)
32,7286,laborer,female,ews,Deendayal Disabled Rehabilitation Scheme (DDRS)
32,7286,laborer,female,ews,PM Garib Kalyan Anna Yojana (PMGKAY)
32,7286,laborer,female,ews,Pradhan Mantri Awas Yojana - Gramin (PMAY-G)
32,7286,laborer,female,ews,Mo Ghara Yojana (Odisha Housing Scheme)
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 36
32,7286,laborer,female,ews,Social Welfare Security Scheme - Support 37
32,7286,laborer,female,ews,Awas Sahayata Gramin - Allocation 56
32,7286,laborer,female,ews,Awas Sahayata Gramin - Allocation 58
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 59
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 65
32,7286,laborer,female,ews,Awas Sahayata Gramin - Allocation 67
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 71
32,7286,laborer,female,ews,Awas Sahayata Gramin - Allocation 75
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 89
32,7286,laborer,female,ews,Social Welfare Security Scheme - Support 91
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 92
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 94
32,7286,laborer,female,ews,Ayushman Swasthya Suraksha - Yojana 98
32,7286,laborer,female,ews,Social Welfare Security Scheme - Support 99
32,7286,laborer,female,ews,Social Welfare Security Scheme - Support 100
23,0,student,female,obc,Pragati Scholarship Scheme for Girls
22,0,unemployed,male,ews,PM Garib Kalyan Anna Yojana (PMGKAY)
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 30
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 36
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 37
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 39
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 50
22,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 54
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 59
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 65
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 71
22,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 74
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 77
22,0,unemployed,male,ews,Skill Upgradation and Vocational Loan - Plan 82
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 89
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 91
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 92
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 94
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 96
22,0,unemployed,male,ews,Ayushman Swasthya Suraksha - Yojana 98
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 99
22,0,unemployed,male,ews,Social Welfare Security Scheme - Support 100
60,15520,retired,male,ews,Pradhan Mantri Vaya Vandana Yojana (PMVVY)
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 27
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 35
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 57
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 60
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 66
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 69
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 72
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 80
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 84
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 88
60,15520,retired,male,ews,Senior Citizen Financial Security - Pension 95
38,9296,farmer,female,st,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
38,9296,farmer,female,st,PM Krishi Sinchayee Yojana (PMKSY)
38,9296,farmer,female,st,Pradhan Mantri Fasal Bima Yojana (PMFBY)
38,9296,farmer,female,st,Kisan Credit Card (KCC) Scheme
38,9296,farmer,female,st,PM Kisan Maan-Dhan Yojana (PM-KMY)
38,9296,farmer,female,st,Pradhan Mantri Matru Vandana Yojana (PMMVY)
38,9296,farmer,female,st,National Farmer Scheme - Phase 28
38,9296,farmer,female,st,National Farmer Scheme - Phase 44
38,9296,farmer,female,st,National Farmer Scheme - Phase 73
38,9296,farmer,female,st,National Farmer Scheme - Phase 78
38,9296,farmer,female,st,National Farmer Scheme - Phase 86
55,14201,farmer,male,obc,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
